time,Fk_k,Fd_k,F_ts
0,-13734,0,0
0.001,-13734.2322686719,-15.0924214768584,15.3244351545711
0.002,-13734.9882863025,-33.4391821855146,34.4467361685701
0.003,-13736.3833419385,-55.9029225618476,58.3329111562518
0.004,-13738.5649533047,-83.6875639994072,88.3333273576846
0.005,-13741.7263191804,-118.521451039571,126.370500284439
0.006,-13746.1273875727,-162.966337812634,175.268317243634
0.007,-13752.1290297948,-220.956536602978,239.325427245607
0.008,-13760.2504567332,-298.764746042873,325.339102208526
0.009,-13771.268355408,-406.73059209305,444.434210215483
0.01,-13786.3872418866,-562.066510460766,615.042021586049
0.011,-13807.4985577385,-791.297275345617,865.604437551134
0.012,-13837.3641635997,-1121.03064367341,1225.53769202182
0.013,-13878.9426111064,-1531.77952836395,1678.3659335861
0.014,-13933.3442762867,-1929.58693481365,2131.20255334927
0.015,-13999.0102085575,-2247.72165766685,2515.61085343338
0.016,-14073.4677617766,-2491.46016885257,2834.29548215611
0.017,-14154.7679891763,-2685.34933570296,3109.84565721624
0.018,-14241.646809677,-2847.92949494223,3359.56625496491
0.019,-14333.3052467204,-2990.47751068482,3593.96525596091
0.02,-14429.2230749606,-3119.66061442701,3819.21163236036
0.021,-14529.0462034519,-3239.50639709359,4038.99319311009
0.022,-14632.5223146258,-3352.531941975,4255.58373180242
0.023,-14739.4636393195,-3460.36595776903,4470.42990365186
0.024,-14849.7247546423,-3564.09648895218,4684.47802529262
0.025,-14963.1888775726,-3664.47114410128,4898.36137932714
0.026,-15079.7591177254,-3762.0163058835,5112.51114196109
0.027,-15199.3527228529,-3857.1104515294,5327.22422475592
0.028,-15321.8971886722,-3950.03063309577,5542.70603546439
0.029,-15447.3275645543,-4040.9827659925,5759.09817804818
0.03,-15575.5845469183,-4130.12186412386,5976.49684624606
0.031,-15706.6131040592,-4217.56586578875,6194.96532276522
0.032,-15840.3614673352,-4303.40527388621,6414.54263976857
0.033,-15976.7803798848,-4387.71000196542,6635.24969270016
0.034,-16115.8225295903,-4470.53431747041,6857.09363382776
0.035,-16257.442115982,-4551.92046537511,7080.07107203557
0.036,-16401.5945159397,-4631.9013613252,7304.1704379366
0.037,-16548.2360232408,-4710.50261861893,7529.3737579085
0.038,-16697.3236439845,-4787.74409155174,7755.65799835396
0.039,-16848.8149347637,-4863.64106306324,7982.99609052664
0.04,-17002.667873884,-4938.20516769778,8211.35773032918
0.041,-17158.8407583705,-5011.44511540846,8440.71000152445
0.042,-17317.2921212762,-5083.36726395467,8671.01786392062
0.043,-17477.9806651054,-5153.97607514059,8902.24454838301
0.044,-17640.8652081222,-5223.27448109957,9134.35186708247
0.045,-17805.9046410394,-5291.26418036354,9367.30046730646
0.046,-17973.0578921199,-5357.94587870361,9601.0500392783
0.047,-18142.2838991426,-5423.3194862031,9835.55948561719
0.048,-18313.5415869979,-5487.38427939577,10070.7870589645
0.049,-18486.7898499284,-5550.1390353842,10306.6904838791
0.05,-18661.9875376173,-5611.58214328197,10543.227048895
0.051,-18839.0934444852,-5671.71169725893,10780.3536930797
0.052,-19018.0663016661,-5730.52557453929,11018.0270735811
0.053,-19198.8647712388,-5788.02150105638,11256.2036278713
0.054,-19381.4474423544,-5844.19710690781,11494.8396235075
0.055,-19565.7728289734,-5899.04997336454,11733.8912046553
0.056,-19751.7993689646,-5952.57767283723,11973.31442999
0.057,-19939.4854243672,-6004.7778029602,12213.0653086424
0.058,-20128.7892826424,-6055.64801571898,12453.0998279366
0.059,-20319.6691587755,-6105.18604241672,12693.3739830998
0.06,-20512.083198104,-6153.3897151066,12933.8437999664
0.061,-20705.9894797723,-6200.2569850364,13174.4653595918
0.062,-20901.3460207242,-6245.78593851766,13415.1948136044
0.063,-21098.1107801592,-6289.97481062164,13655.9884065694
0.064,-21296.2416643894,-6332.82199699223,13896.8024904173
0.065,-21495.6965320406,-6374.32606404282,14137.5935407426
0.066,-21696.4331995529,-6414.48575775493,14378.3181706593
0.067,-21898.4094469369,-6453.30001126198,14618.9331434967
0.068,-22101.5830237526,-6490.76795139417,14859.3953883723
0.069,-22305.9116552782,-6526.88890429105,15099.6620081744
0.07,-22511.3530488432,-6561.66240021165,15339.6902919657
0.071,-22717.8649003009,-6595.08817764899,15579.4377269516
0.072,-22925.4049006204,-6627.16618681783,15818.8620067392
0.073,-23133.9307425795,-6657.89659260005,16057.9210423835
0.074,-23343.4001275426,-6687.27977700293,16296.572970612
0.075,-23553.7707723093,-6715.31634119784,16534.7761648717
0.076,-23765.0004160185,-6742.00710713982,16772.4892359221
0.077,-23977.0468271028,-6767.35311891272,17009.6710556665
0.078,-24189.8678102748,-6791.35564369228,17246.2807453789
0.079,-24403.4212135447,-6814.01617252098,17482.2777062228
0.08,-24617.6649352525,-6835.33642073573,17717.6216001918
0.081,-24832.5569311166,-6855.31832826899,17952.2723842291
0.082,-25048.0552212825,-6873.96405967765,18186.1902955699
0.083,-25264.1178973738,-6891.27600402858,18419.3358728157
0.084,-25480.7031295353,-6907.25677459988,18651.6699551497
0.085,-25697.7691734642,-6921.90920843193,18883.1536915219
0.086,-25915.2743774256,-6935.23636574939,19113.748548316
0.087,-26133.1771892482,-6947.24152925389,19343.4163151405
0.088,-26351.4361632937,-6957.92820326558,19572.1191043836
0.089,-26570.0099674009,-6967.30011280318,19799.8193685739
0.09,-26788.8573897968,-6975.36120254329,20026.4798990639
0.091,-27007.9373459741,-6982.11563567381,20252.0638312961
0.092,-27227.2088855327,-6987.56779268688,20476.5346559572
0.093,-27446.6311989796,-6991.7222700574,20699.856216184
0.094,-27666.1636244885,-6994.58387888392,20921.9927230153
0.095,-27885.7656546135,-6996.15764340836,21142.9087477652
0.096,-28105.3969429578,-6996.4487995317,21362.5692434938
0.097,-28325.0173107915,-6995.46279320119,21580.9395322129
0.098,-28544.5867536217,-6993.20527880085,21797.9853274964
0.099,-28764.0654477072,-6989.68211741732,22013.6727206014
0.1,-28983.413756522,-6984.89937513538,22227.9682070634
0.101,-29202.5922371604,-6978.8633211999,22440.838668478
0.102,-29421.5616466869,-6971.5804261775,22652.2513930089
0.103,-29640.2829484264,-6963.0573600736,22862.1740755667
0.104,-29858.7173181933,-6953.30099037131,23070.5748162874
0.105,-30076.8261504614,-6942.31838006873,23277.4221344171
0.106,-30294.5710644692,-6930.11678565941,23482.6849663245
0.107,-30511.9139102612,-6916.70365505984,23686.3326681113
0.108,-30728.8167746654,-6902.08662553028,23888.3350259626
0.109,-30945.2419872026,-6886.27352152659,24088.6622512549
0.11,-31161.15212593,-6869.27235255267,24287.2849935649
